StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,CAS_1,CAS_2,CAS_3,CAS_4,CAS_5,MDI_1,MDI_2,MDI_3,MDI_4,MDI_5,MDI_6,MDI_7,MDI_8,MDI_9,MDI_10,MDI_11,MDI_12,PSS_1,PSS_2,PSS_3,PSS_4,PSS_5,PSS_6,PSS_7,PSS_8,PSS_9,PSS_10,Q1,Q1_3_TEXT,Q2,Q3,Q3_7_TEXT,Q4,Q4_9_TEXT,Q5,Q6,Q6_9_TEXT,Q7,Q8,Q9,Q10,Q10_3_TEXT,Q11,Q11_7_TEXT,Q12,Q13,Q13_6_TEXT,Q14,Q15,Q16,Q17A,Q17B,Q18,Q19A,Q19B,Q20A,Q20B,Q21,Q22,Q23,Q24,Q25,Q26A,Q26B,Q26C,Q26D
2020-10-12 13:16:29,2020-10-12 13:20:23,0,193.36.225.42,100,234,1,2020-10-12 13:20:24,R_2ZOYVaqjm2WgyKv,,,,,34.0543975830078125,-118.2440032958984375,anonymous,EN,5,1,1,1,1,1,5,5,4,5,6,6,4,3,4,3,5,6,1,3,3,4,4,3,4,3,2,3,1,,2,5,,2,,1,6,,2,6,1,1,,3,,2,3,,1,2,1,2,3,1,4,3,4,1,2,1,6,3,2,4,,,4
2020-10-12 13:16:37,2020-10-12 13:20:25,0,131.216.14.81,100,228,1,2020-10-12 13:20:26,R_3O0u41460j5BhDk,,,,,36.100799560546875,-115.13649749755859375,anonymous,EN,5,2,2,1,1,1,4,4,4,4,4,5,3,3,3,3,5,6,4,5,5,3,3,3,3,3,5,4,2,,2,1,,2,,2,7,,2,12,2,1,,1,,2,3,,3,2,1,4,3,2,3,2,2,1,1,1,5,3,1,4,,,3
2020-10-12 13:16:14,2020-10-12 13:20:35,0,172.89.109.101,100,260,1,2020-10-12 13:20:35,R_1LjL124hmAn5YyO,,,,,34.7147979736328125,-117.8755950927734375,anonymous,EN,5,2,3,3,2,2,5,5,5,2,6,6,5,5,5,5,5,5,3,2,3,4,4,4,2,4,4,3,2,,2,6,,7,,1,1,,2,13,2,2,,4,,2,2,,2,2,1,1,4,1,4,2,4,2,2,2,3,1,2,4,,,1
2020-10-12 13:16:26,2020-10-12 13:20:41,0,68.96.214.150,100,255,1,2020-10-12 13:20:41,R_Q0zALk2pbD1AShH,,,,,36.15020751953125,-115.033599853515625,anonymous,EN,5,1,1,1,1,1,2,2,4,5,6,6,2,6,1,6,5,5,1,1,5,5,3,3,3,1,1,4,1,,2,6,,4,,1,3,,2,10,2,1,,3,,2,2,,4,1,2,4,1,2,4,2,1,3,2,2,6,1,1,4,,,1
2020-10-12 13:15:45,2020-10-12 13:20:50,0,98.181.156.75,100,304,1,2020-10-12 13:20:50,R_qxRCKPIKuPS9f8d,,,,,36.2472991943359375,-115.28209686279296875,anonymous,EN,5,1,1,1,1,1,6,6,6,6,6,,6,6,6,6,6,6,1,1,2,5,4,1,3,3,1,2,2,,2,1,,4,,2,5,,2,12,2,1,,4,,2,3,,3,2,1,3,3,1,8,3,3,1,2,2,6,3,1,4,,,2
2020-10-12 13:15:26,2020-10-12 13:20:51,0,131.216.14.84,100,325,1,2020-10-12 13:20:51,R_2pLxu4dN6iEwtE5,,,,,36.100799560546875,-115.13649749755859375,anonymous,EN,5,1,2,1,1,1,6,5,6,5,5,6,5,5,4,5,6,5,2,3,3,3,3,3,3,4,3,1,1,,2,6,,7,,1,1,,1,6,2,1,,3,,2,1,,2,2,1,2,4,2,4,3,3,3,2,2,4,3,1,4,,,2
2020-10-12 13:15:59,2020-10-12 13:20:52,0,72.193.117.143,100,293,1,2020-10-12 13:20:53,R_SMISXvFUNuBc67T,,,,,36.05859375,-115.08029937744140625,anonymous,EN,5,1,3,4,5,4,1,1,1,2,3,4,1,1,1,4,2,6,5,1,5,3,1,5,3,1,4,5,3,Non-binary,1,6,,7,,1,3,,2,9,2,1,,3,,2,2,,2,2,1,2,2,2,8,1,4,3,2,1,6,2,2,2,2,2,
2020-10-12 13:16:26,2020-10-12 13:20:54,0,172.58.76.200,100,267,1,2020-10-12 13:20:54,R_2xFyDVdn3x98RZ4,,,,,36.20379638671875,-115.22550201416015625,anonymous,EN,5,2,4,3,4,3,1,1,1,4,1,2,1,1,1,1,2,6,5,5,5,1,1,5,1,1,5,5,2,,2,1,,3,,1,3,,2,3,2,1,,2,,2,3,,4,2,2,2,2,1,3,2,1,2,1,1,2,1,1,4,,,3
2020-10-12 13:16:29,2020-10-12 13:20:55,0,131.216.14.83,100,266,1,2020-10-12 13:20:55,R_3MAUJqLywQeOCzQ,,,,,36.100799560546875,-115.13649749755859375,anonymous,EN,5,1,2,1,1,1,4,6,2,3,3,6,2,3,5,3,6,5,4,4,5,4,2,3,5,3,4,4,1,,2,6,,7,,1,1,,2,6,1,1,,3,,2,1,,2,2,1,2,4,1,5,2,3,1,2,2,1,2,1,1,4,2,
2020-10-12 13:17:08,2020-10-12 13:21:01,0,70.175.49.149,100,232,1,2020-10-12 13:21:01,R_3lKwMXpQnnp60NO,,,,,36.01190185546875,-115.04329681396484375,anonymous,EN,5,1,3,3,2,3,2,1,2,2,3,5,2,2,3,3,5,3,5,5,5,3,2,3,3,3,3,5,2,,2,6,,7,,1,3,,2,9,2,1,,1,,2,2,,4,2,1,2,3,1,5,3,3,2,2,1,2,1,2,4,,,2
2020-10-12 13:16:21,2020-10-12 13:21:07,0,131.216.14.81,100,286,1,2020-10-12 13:21:07,R_p49QSIu2AfbeEH7,,,,,36.100799560546875,-115.13649749755859375,anonymous,EN,5,2,2,4,4,3,4,4,5,3,3,6,3,5,5,4,4,5,4,3,4,3,3,3,3,3,3,3,2,,2,6,,4,,1,3,,2,13,2,1,,1,,2,1,,2,2,1,2,3,1,6,3,3,3,1,2,2,3,1,4,,,2
2020-10-12 13:16:09,2020-10-12 13:21:11,0,70.173.77.153,100,301,1,2020-10-12 13:21:11,R_2CfCJplFDR3HF4i,,,,,36.12359619140625,-115.27570343017578125,anonymous,EN,5,1,1,1,1,1,3,5,5,6,5,6,3,6,5,3,6,6,1,1,4,4,2,1,4,3,2,2,1,,2,6,,2,,1,1,,2,4,2,1,,7,Student,2,3,,2,2,1,1,4,1,8,1,4,1,2,1,6,2,2,4,,,4
2020-10-12 13:16:36,2020-10-12 13:21:11,0,68.104.60.144,100,274,1,2020-10-12 13:21:11,R_OlkDC4gHfn6LzQ5,,,,,36.058807373046875,-115.31040191650390625,anonymous,EN,5,1,3,2,2,2,2,2,2,2,2,5,3,2,2,3,5,3,4,4,4,2,2,4,2,2,4,4,2,,2,1,,5,,1,4,,2,12,3,1,,4,,2,2,,2,2,1,2,1,1,6,1,3,1,2,2,6,2,1,4,,,2
2020-10-12 13:16:09,2020-10-12 13:21:16,0,72.193.130.197,100,306,1,2020-10-12 13:21:16,R_1lmlwsvzyiHsGhz,,,,,36.0408935546875,-115.0829010009765625,anonymous,EN,5,1,1,2,2,2,2,2,2,2,3,5,3,2,2,2,3,3,4,5,5,4,2,4,3,3,4,5,2,,2,6,,4,,1,1,,1,1,2,2,,4,,2,1,,4,2,1,1,4,2,4,2,2,3,2,2,2,1,1,4,,,4
2020-10-12 13:16:36,2020-10-12 13:21:18,0,131.216.14.83,100,282,1,2020-10-12 13:21:19,R_2B3yKFYmUiR75b4,,,,,36.100799560546875,-115.13649749755859375,anonymous,EN,5,1,2,1,1,1,3,2,5,6,6,3,2,2,4,5,3,5,4,4,5,2,3,4,2,3,4,4,1,,2,6,,2,,1,1,,2,3,2,1,,2,,2,1,,2,2,1,2,2,2,5,1,4,3,2,1,6,2,1,4,,,3
2020-10-12 13:15:58,2020-10-12 13:21:24,0,98.167.87.126,100,325,1,2020-10-12 13:21:24,R_3dT7JUN6FN2dbox,,,,,36.01190185546875,-115.04329681396484375,anonymous,EN,5,1,1,1,1,1,5,6,3,5,6,6,4,5,4,2,5,5,2,3,3,4,3,2,4,3,3,2,1,,2,1,,2,,2,6,,2,6,2,1,,4,,2,3,,4,2,2,3,1,2,4,2,4,1,2,1,6,1,2,4,,,4
2020-10-12 13:15:32,2020-10-12 13:21:26,0,72.203.53.163,100,353,1,2020-10-12 13:21:26,R_3gTONeqFR9mGr3e,,,,,36.16510009765625,-115.36049652099609375,anonymous,EN,5,2,2,3,1,2,4,2,4,4,2,2,6,6,6,4,4,3,3,3,3,3,3,3,3,3,3,4,1,,2,6,,4,,1,4,,2,4,2,2,,2,,1,3,,2,2,3,4,1,2,2,2,2,2,2,2,6,1,1,4,,,3
2020-10-12 13:16:04,2020-10-12 13:21:29,0,71.38.15.82,100,325,1,2020-10-12 13:21:29,R_3lQdHlxJAgJSntc,,,,,36.002105712890625,-115.147003173828125,anonymous,EN,5,2,3,1,1,2,5,4,3,5,6,6,2,2,4,3,5,6,2,4,5,3,2,4,4,3,2,2,2,,2,1,,4,,2,9,I am a transfer so I’m not too sure exactly what year I am considered,1,11,2,1,,1,,2,3,,3,2,1,2,4,2,2,2,2,2,1,1,6,2,1,4,,,2
2020-10-12 13:16:37,2020-10-12 13:21:30,0,131.216.14.81,100,293,1,2020-10-12 13:21:30,R_2EFYIhJkYsHSnVy,,,,,36.100799560546875,-115.13649749755859375,anonymous,EN,5,1,1,1,1,2,4,5,5,5,5,6,5,5,6,5,5,6,2,2,3,4,4,2,4,4,3,2,2,,2,6,,4,,1,1,,2,13,2,1,,2,,2,1,,2,2,1,3,3,1,3,2,4,3,2,2,6,3,1,1,3,2,
2020-10-12 13:16:40,2020-10-12 13:21:36,0,24.234.244.42,100,295,1,2020-10-12 13:21:36,R_1re2luFu4KRnzTu,,,,,36.100799560546875,-115.13649749755859375,anonymous,EN,5,2,4,3,3,4,1,2,4,1,1,1,1,1,1,1,2,5,4,5,5,3,2,4,2,2,4,5,2,,2,1,,7,,2,6,,2,5,2,1,,4,,2,3,,1,2,1,4,1,2,5,2,3,1,2,2,2,1,1,4,,,3
2020-10-12 13:17:20,2020-10-12 13:21:46,0,71.222.88.200,100,265,1,2020-10-12 13:21:46,R_29uWuNqVUg7UKA2,,,,,36.20379638671875,-115.22550201416015625,anonymous,EN,5,3,3,,4,3,2,2,2,1,1,4,,2,2,3,3,5,4,4,5,3,3,4,2,2,5,5,2,,2,6,,7,,1,3,,2,9,2,1,,2,,2,2,,2,2,1,4,3,1,4,2,2,1,2,2,1,3,2,4,,,3
2020-10-12 13:15:44,2020-10-12 13:21:57,0,174.72.128.24,100,372,1,2020-10-12 13:21:57,R_2EzrhwcpaEtPt4E,,,,,36.20379638671875,-115.22550201416015625,anonymous,EN,5,1,1,1,1,1,5,6,5,6,6,6,5,6,6,6,5,6,3,1,2,5,4,3,3,4,2,3,1,,2,6,,2,,1,7,,2,4,1,1,,2,,2,1,,1,2,1,3,2,2,5,3,2,3,2,2,6,2,1,4,,,3
2020-10-12 13:16:43,2020-10-12 13:22:02,0,98.182.155.56,100,318,1,2020-10-12 13:22:02,R_03CxPzUgGZ8bh0B,,,,,36.12139892578125,-115.14099884033203125,anonymous,EN,5,1,1,1,1,1,3,4,3,2,5,5,2,2,2,5,2,6,3,4,4,2,2,4,3,1,4,2,2,,2,6,,7,,1,2,,2,11,2,1,,4,,2,3,,2,2,1,3,1,2,5,3,4,1,2,2,6,1,1,4,,,4
2020-10-12 13:16:30,2020-10-12 13:22:16,0,98.160.148.51,100,345,1,2020-10-12 13:22:16,R_2ccLaup5WBk2Q7S,,,,,36.1219940185546875,-115.08599853515625,anonymous,EN,5,1,1,1,1,1,3,3,2,2,3,5,2,3,4,2,3,6,4,4,5,2,1,3,3,2,3,4,1,,2,6,,2,,1,4,,2,4,1,1,,3,,2,3,,1,2,1,2,2,1,6,1,2,2,1,1,6,3,2,4,,,4
2020-10-12 13:17:16,2020-10-12 13:22:19,0,131.216.14.81,100,303,1,2020-10-12 13:22:19,R_1QKQlYfNpaPxNUG,,,,,36.100799560546875,-115.13649749755859375,anonymous,EN,5,3,5,3,4,4,1,1,1,1,1,3,1,1,1,1,3,4,5,5,5,1,1,5,1,1,5,5,2,,2,6,,7,,1,3,,2,12,2,1,,1,,2,2,,2,2,1,4,1,2,2,2,4,1,1,1,4,1,1,2,2,2,
2020-10-12 13:16:26,2020-10-12 13:22:20,0,174.237.133.110,100,354,1,2020-10-12 13:22:20,R_33xq32hrpWSELT5,,,,,36.038299560546875,-115.14459991455078125,anonymous,EN,5,1,3,2,1,1,2,3,3,5,6,5,2,4,5,6,6,6,3,3,5,3,4,3,3,2,3,4,2,,2,5,,8,,1,4,,2,10,2,1,,4,,2,3,,8,2,1,4,1,2,7,3,3,3,2,2,1,1,2,4,,,3
2020-10-12 13:17:38,2020-10-12 13:22:28,0,72.202.84.132,100,290,1,2020-10-12 13:22:28,R_3EMviZmCrCPM1h2,,,,,35.9853973388671875,-115.11930084228515625,anonymous,EN,5,1,1,1,1,1,4,2,1,1,2,2,1,1,1,1,5,4,3,3,5,2,2,4,2,2,3,3,1,,2,6,,4,,1,2,,2,12,2,2,,2,,2,2,,2,2,1,2,3,2,4,2,3,2,2,2,6,1,2,4,,,3
